Match;class_adversaire;Systeme;Poste;total HMLD;HMLD 0_15;HMLD 15_30;HMLD 30_45;HMLD 45_60;HMLD 60_75;HMLD 75_90;variation_ML 0-30;variation_ML 15-45;variation_ML 30-60;variation_ML 45-75;variation_ML 60-90;variation_abs_ML 0-30;variation_abs_ML 15-45;variation_abs_ML 30-60;variation_abs_ML 45-75;variation_abs_ML 60-90
1;(11_14);Syst 352;MC;2828;475;417;514;525;423;474;-58;97;11;-102;51;58;97;11;102;51
1;(11_14);Syst 352;DC;2568;547;410;446;509;335;321;-137;36;63;-174;-14;137;36;63;174;14
1;(11_14);Syst 352;AIL;2859;482;427;528;514;418;490;-55;101;-14;-96;72;55;101;14;96;72
1;(11_14);Syst 352;AIL;2679;429;368;453;523;491;415;-61;85;70;-32;-76;61;85;70;32;76
1;(11_14);Syst 352;DC;1832;280;296;294;342;296;324;16;-2;48;-46;28;16;2;48;46;28
1;(11_14);Syst 352;ATT;2657;436;432;572;482;377;358;-4;140;-90;-105;-19;4;140;90;105;19
2;(11_14);Syst 352;DC;1975;412;399;271;277;352;264;-13;-128;6;75;-88;13;128;6;75;88
2;(11_14);Syst 352;AIL;2894;664;387;500;398;461;484;-277;113;-102;63;23;277;113;102;63;23
2;(11_14);Syst 352;DC;2141;364;291;430;282;443;331;-73;139;-148;161;-112;73;139;148;161;112
2;(11_14);Syst 352;DC;1492;291;214;228;245;285;229;-77;14;17;40;-56;77;14;17;40;56
2;(11_14);Syst 352;ATT;2232;534;270;311;398;405;314;-264;41;87;7;-91;264;41;87;7;91
3;(6_10);Syst 433;DC;2631;602;518;405;382;361;363;-84;-113;-23;-21;2;84;113;23;21;2
3;(6_10);Syst 433;AIL;2907;550;514;526;467;480;370;-36;12;-59;13;-110;36;12;59;13;110
3;(6_10);Syst 433;MC;3630;700;633;577;580;518;622;-67;-56;3;-62;104;67;56;3;62;104
3;(6_10);Syst 433;ATT;2897;477;501;459;534;487;439;24;-42;75;-47;-48;24;42;75;47;48
3;(6_10);Syst 433;AIL;3178;699;561;558;444;518;398;-138;-3;-114;74;-120;138;3;114;74;120
3;(6_10);Syst 433;DC;1792;342;355;280;289;270;256;13;-75;9;-19;-14;13;75;9;19;14
5;(6_10);Syst 433;DC;2628,12;589,67;478,74;476,39;464,25;313,44;305,63;-110,93;-2,35;-12,14;-150,81;-7,81;110,93;2,35;12,14;150,81;7,81
5;(6_10);Syst 433;AIL;2633,29;555,82;529,37;492,5;277,03;351,74;426,83;-26,45;-36,87;-215,47;74,71;75,09;26,45;36,87;215,47;74,71;75,09
5;(6_10);Syst 433;AIL;2828,16;571,84;477,02;498,65;483,51;391,76;405,38;-94,82;21,63;-15,14;-91,75;13,62;94,82;21,63;15,14;91,75;13,62
7;(11_14);Syst 433;AIL;3410,74;664,12;589,15;511,08;610,45;441,42;594,52;-74,97;-78,07;99,37;-169,03;153,1;74,97;78,07;99,37;169,03;153,1
7;(11_14);Syst 433;DC;2817,21;551,54;406,76;493,44;464,91;451,48;449,08;-144,78;86,68;-28,53;-13,43;-2,4;144,78;86,68;28,53;13,43;2,4
7;(11_14);Syst 433;MC;2801,64;584,49;524,55;369,79;514,19;405,66;402,96;-59,94;-154,76;144,4;-108,53;-2,7;59,94;154,76;144,4;108,53;2,7
7;(11_14);Syst 433;DC;1713,23;314,8;257,39;303,28;313,33;263,58;260,85;-57,41;45,89;10,05;-49,75;-2,73;57,41;45,89;10,05;49,75;2,73
7;(11_14);Syst 433;AIL;2535,58;503,98;387,94;390,98;462,07;398,85;391,76;-116,04;3,04;71,09;-63,22;-7,09;116,04;3,04;71,09;63,22;7,09
